DEPTH,A,B
3391.3572,12.42969,74.40723
3391.5096,8.43583,74.77101
3391.662,5.84291,74.83825
3391.8144,6.68924,74.02687
3391.9668,8.32809,72.77347
3392.1192,9.49106,72.52603
3392.2716,7.72106,71.66817
3392.424,6.66768,73.74599
3392.5764,5.88971,73.56936
3392.7288,5.92202,73.63828
3392.8812,4.60752,73.89443
3393.0336,4.29748,75.86445
3393.186,4.45451,75.23647
3393.3384,5.21607,75.82662
3393.4908,6.36691,77.93062
3393.6432,6.67694,79.88113
3393.7956,8.48919,82.96095
3393.948,14.61876,83.26886
3394.1004,22.78372,83.10744
3394.2528,42.0689,83.11485
3394.4052,30.03056,83.34156
3394.5576,15.54448,85.68312
3394.71,13.16451,82.81041
3394.8624,9.70774,83.29724
3395.0148,7.72952,82.99253
3395.1672,6.78039,82.70852
3395.3196,8.33552,81.8125
3395.472,7.95848,80.68327
3395.6244,8.27032,80.51731
3395.7768,8.28388,81.08415
3395.9292,8.38713,80.42188
3396.0816,9.21885,79.19877
3396.234,8.86886,77.59358
3396.3864,7.62159,77.87207
3396.5388,6.3745,77.72053
3396.6912,5.37499,79.46651
3396.8436,5.83492,79.71218
3396.996,5.86516,79.10593
3397.1484,7.15585,78.6323
3397.3008,6.91315,78.71091
3397.4532,7.82359,80.43794
3397.6056,5.91334,79.67484
3397.758,4.83667,80.77572
3397.9104,4.73193,79.20585
3398.0628,4.89863,79.73885
3398.2152,5.2569,77.27869
3398.3676,5.69691,76.65004
3398.52,7.01588,76.09369
3398.6724,6.54195,78.53675
3398.8248,6.28085,77.59781
3398.9772,7.94196,79.43816
3399.1296,8.18458,78.38389
3399.282,10.16276,78.49618
3399.4344,11.13079,78.44379
3399.5868,11.94795,78.57528
3399.7392,13.39066,79.17317
3399.8916,13.48948,75.35869
3400.044,10.10139,73.24542
3400.1964,8.0507,73.44232
3400.3488,9.86185,72.07499
3400.5012,12.87568,71.46533
3400.6536,21.83551,70.8895
3400.806,27.91433,70.85439
3400.9584,28.02955,70.23083
3401.1108,20.10278,69.12894
3401.2632,15.1449,66.23633
3401.4156,14.76822,65.74838
3401.568,12.68263,64.65031
3401.7204,12.5605,64.47075
3401.8728,13.8443,67.61647
3402.0252,12.55071,65.08867
3402.1776,10.73024,64.75318
3402.33,6.69667,64.65911
3402.4824,3.80079,61.76446
3402.6348,3.75538,62.06149
3402.7872,4.60761,65.64996
3402.9396,5.97458,65.6673
3403.092,4.5784,65.47647
3403.2444,2.69062,74.12318
3403.3968,1.417,74.15312
3403.5492,1.64536,68.98197
3403.7016,1.9809,78.78821
3403.854,2.73397,84.52653
3404.0064,2.81425,88.00557
3404.1588,2.43889,90.78242
3404.3112,1.96155,90.66209
3404.4636,1.5514,90.28877
3404.616,1.64084,89.19262
3404.7684,1.80297,87.45526
3404.9208,1.7201,88.25844
3405.0732,1.57788,85.88923
3405.2256,1.62057,85.17776
3405.378,1.5398,85.27298
3405.5304,1.38747,83.03916
3405.6828,1.33502,82.94178
3405.8352,1.46285,82.81834
3405.9876,1.45843,82.96915
3406.14,1.28543,83.32632
3406.2924,1.25413,83.74673
3406.4448,1.22484,85.27179
3406.5972,1.17927,85.51996
3406.7496,1.12996,85.79203
3406.902,1.1079,85.8496
3407.0544,1.12787,86.44619
3407.2068,1.20374,86.87675
3407.3592,1.24611,87.19447
3407.5116,1.19132,87.1611
3407.664,1.25285,87.9384
3407.8164,1.27314,89.79082
3407.9688,1.31203,91.38203
3408.1212,1.21896,91.00362
3408.2736,1.31818,91.35222
3408.426,1.45988,91.36276
3408.5784,1.70636,92.28466
3408.7308,1.48925,93.01707
3408.8832,1.34664,94.41713
3409.0356,1.36194,96.5621
3409.188,1.40717,96.97276
3409.3404,1.48408,97.15527
3409.4928,1.49802,96.93338
3409.6452,1.56815,95.50865
3409.7976,1.61375,96.6483
3409.95,1.58436,96.88038
3410.1024,1.48635,93.20001
3410.2548,1.45606,92.64625
3410.4072,1.55562,92.38954
3410.5596,1.55421,91.21454
3410.712,1.42359,89.8391
3410.8644,1.32258,89.67423
3411.0168,1.24807,88.00625
3411.1692,1.24695,87.31627
3411.3216,1.24478,82.79124
3411.474,1.2225,82.64804
3411.6264,1.2954,82.67584
3411.7788,1.32393,82.64686
3411.9312,1.37804,80.56858
3412.0836,1.43983,80.29066
3412.236,1.6975,79.87403
3412.3884,1.87499,79.83581
3412.5408,1.58882,79.94486
3412.6932,1.40852,79.72373
3412.8456,1.4467,80.23205
3412.998,1.37202,81.07113
3413.1504,1.33279,81.13191
3413.3028,1.43287,81.12438
3413.4552,1.53581,82.10809
3413.6076,1.3921,81.54211
3413.76,1.39341,82.72062
3413.9124,1.45906,82.20944
3414.0648,1.42979,81.25258
3414.2172,1.36471,80.21815
3414.3696,1.69208,79.19557
3414.522,2.11613,75.46397
3414.6744,2.04011,73.68287
3414.8268,1.9166,72.17179
3414.9792,2.02945,69.32615
3415.1316,2.35946,69.41585
3415.284,2.37756,68.00527
3415.4364,2.41415,68.1744
3415.5888,2.45146,66.16748
3415.7412,2.2913,66.54516
3415.8936,2.22978,66.77449
3416.046,2.16134,69.42826
3416.1984,2.10125,76.11289
3416.3508,2.09222,77.65947
3416.5032,1.92686,78.45957
3416.6556,1.93003,78.69479
3416.808,2.11297,80.97582
3416.9604,3.02872,81.81512
3417.1128,3.40258,83.82975
3417.2652,2.91278,84.36166
3417.4176,2.3082,83.73024
3417.57,2.70978,83.55409
3417.7224,3.03964,85.19248
3417.8748,4.26769,86.72288
